publicationId,publicationSeqNo,issn,eissn,publicationTitle,publicationTitle20,publicationTitleISO,publicationFrequency,issuesPerYear,submissionURL,openAccess,country,publicationStartYear,publisherName,publisherAddress,publisherCode,publisherURL
90139,C6115J,1087-2418,1531-7013,CURRENT OPINION IN ORGAN TRANSPLANTATION,CURR OPIN ORGAN TRAN,Curr. Opin. Organ Transpl.,B,6,http://www.editorialmanager.com/coot/,FALSE,UNITED STATES OF AMERICA,1995,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90140,C8951J,1068-9508,1531-6998,CURRENT OPINION IN OTOLARYNGOLOGY & HEAD AND NECK SURGERY,CURR OPIN OTOLARYNGO,Curr. Opin. Otolaryngol. Head Neck Surg.,B,6,http://www.editorialmanager.com/cooh/,FALSE,UNITED STATES OF AMERICA,1992,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90141,13250J,1040-8703,1531-698X,CURRENT OPINION IN PEDIATRICS,CURR OPIN PEDIATR,CURR. OPIN. PEDIATR.,B,6,http://www.editorialmanager.com/cope/default.aspx,FALSE,UNITED STATES OF AMERICA,1989,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90142,13828J,1471-4892,1471-4973,CURRENT OPINION IN PHARMACOLOGY,CURR OPIN PHARMACOL,Curr. Opin. Pharmacol.,B,6,http://www.elsevier.com/journals/current-opinion-in-pharmacology/1471-4892/guide-for-authors,FALSE,ENGLAND,2000,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",JM451,http://www.elsevier.com
90143,12410J,1369-5266,1879-0356,CURRENT OPINION IN PLANT BIOLOGY,CURR OPIN PLANT BIOL,Curr. Opin. Plant Biol.,B,6,http://www.elsevier.com/wps/find/journaldescription.cws_home/601314/description#description,FALSE,ENGLAND,1998,CURRENT BIOLOGY LTD,"84 THEOBALDS RD, LONDON, ENGLAND, WC1X 8RR",IE001,http://www.biomednet.com/cbiology/
90144,11225J,0951-7367,1473-6578,CURRENT OPINION IN PSYCHIATRY,CURR OPIN PSYCHIATR,Curr. Opin. Psychiatr.,B,6,http://www.editorialmanager.com/copy/,FALSE,UNITED STATES OF AMERICA,1988,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90146,13899J,1070-5287,1531-6971,CURRENT OPINION IN PULMONARY MEDICINE,CURR OPIN PULM MED,Curr. Opin. Pulm. Med.,B,6,http://www.editorialmanager.com/copm/,FALSE,UNITED STATES OF AMERICA,1994,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90147,13251J,1040-8711,1531-6963,CURRENT OPINION IN RHEUMATOLOGY,CURR OPIN RHEUMATOL,Curr. Opin. Rheumatol.,B,6,http://www.editorialmanager.com/cor/,FALSE,UNITED STATES OF AMERICA,1989,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90148,11833J,1359-0286,1879-0348,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,Curr. Opin. Solid State Mat. Sci.,B,6,http://ees.elsevier.com/cossms/,FALSE,UNITED STATES OF AMERICA,1996,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",UC250,http://www.elsevier.com
90149,10362J,0959-440X,1879-033X,CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,Curr. Opin. Struct. Biol.,B,6,http://www.elsevier.com/journals/current-opinion-in-structural-biology/0959-440X/guide-for-authors,FALSE,ENGLAND,1991,CURRENT BIOLOGY LTD,"84 THEOBALDS RD, LONDON, ENGLAND, WC1X 8RR",IE001,http://www.biomednet.com/cbiology/
90150,D2549J,1751-4258,1751-4266,CURRENT OPINION IN SUPPORTIVE AND PALLIATIVE CARE,CURR OPIN SUPPORT PA,Curr. Opin Support Palliat. Car.,Q,4,,,UNITED STATES OF AMERICA,2007,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90152,14044J,0963-0643,1473-6586,CURRENT OPINION IN UROLOGY,CURR OPIN UROL,Curr. Opin. Urol.,B,6,http://www.editorialmanager.com/cou/,FALSE,ENGLAND,1991,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90153,D1465J,1879-6257,1879-6265,CURRENT OPINION IN VIROLOGY,CURR OPIN VIROL,Curr. Opin. Virol.,B,6,http://ees.elsevier.com/coviro/,FALSE,NETHERLANDS,2011,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",JM451,http://www.elsevier.com
90154,D8991J,2508-7266,2508-7274,CURRENT OPTICS AND PHOTONICS,CURR OPT PHOTONICS,Curr. Opt. Photonics,B,6,,,SOUTH KOREA,2017,OPTICAL SOC KOREA,"#1610 TAEYOUNG DESSIAN, 560 DOWHA-DONG, MAPO-GU, SEOUL, SOUTH KOREA, 121-815",ABR71,http://www.osk.or.kr
90155,12185J,1385-2728,1875-5348,CURRENT ORGANIC CHEMISTRY,CURR ORG CHEM,Curr. Org. Chem.,F,28,http://bsp-cms.eurekaselect.com/index.php/COC/login?source=%2Findex.php%2FCOC,FALSE,UNITED ARAB EMIRATES,1997,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90156,C2713J,1570-1794,1875-6271,CURRENT ORGANIC SYNTHESIS,CURR ORG SYNTH,Curr. Org. Synth.,B,8,http://bsp-cms.eurekaselect.com/index.php/COS/login?source=%2Findex.php%2FCOS,FALSE,UNITED ARAB EMIRATES,2004,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90159,D2727J,1544-1873,1544-2241,CURRENT OSTEOPOROSIS REPORTS,CURR OSTEOPOROS REP,Curr. Osteoporos. Rep.,Q,4,,,UNITED STATES OF AMERICA,2003,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
90160,C7878J,1531-3433,1534-3081,CURRENT PAIN AND HEADACHE REPORTS,CURR PAIN HEADACHE R,Curr. Pain Headache Rep.,M,12,http://link.springer.com/journal/11916,FALSE,UNITED STATES OF AMERICA,1997,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
90162,C6515J,1573-4129,1875-676X,CURRENT PHARMACEUTICAL ANALYSIS,CURR PHARM ANAL,Curr. Pharm. Anal.,B,6,http://bsp-cms.eurekaselect.com/index.php/CPA/login?source=%2Findex.php%2FCPA,FALSE,UNITED ARAB EMIRATES,2005,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90163,C1130J,1389-2010,1873-4316,CURRENT PHARMACEUTICAL BIOTECHNOLOGY,CURR PHARM BIOTECHNO,Curr. Pharm. Biotechnol.,M,15,http://bsp-cms.eurekaselect.com/index.php/CPB/login?source=%2Findex.php%2FCPB,FALSE,UNITED ARAB EMIRATES,2000,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90164,11778J,1381-6128,1873-4286,CURRENT PHARMACEUTICAL DESIGN,CURR PHARM DESIGN,Curr. Pharm. Design,W,46,http://bsp-cms.eurekaselect.com/index.php/CPD/login?source=%2Findex.php%2FCPD,FALSE,UNITED ARAB EMIRATES,1995,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90167,E1074J,2198-6592,2198-6592,CURRENT POLLUTION REPORTS,CURR POLLUT REP,Curr. Pollut. Rep.,Q,4,,,UNITED STATES OF AMERICA,2015,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",ZX651,http://www.springer.com
90168,06760J,0147-0272,1535-6345,CURRENT PROBLEMS IN CANCER,CURR PROB CANCER,Curr. Probl. Cancer,B,6,,,UNITED STATES OF AMERICA,1976,MOSBY-ELSEVIER,"360 PARK AVENUE SOUTH, NEW YORK, USA, NY, 10010-1710",RD275,http://www.mosby.com
90169,06575J,0146-2806,1535-6280,CURRENT PROBLEMS IN CARDIOLOGY,CURR PROB CARDIOLOGY,Curr. Probl. Cardiol.,M,12,http://www.cpcardiology.com/,FALSE,UNITED STATES OF AMERICA,1976,MOSBY-ELSEVIER,"360 PARK AVENUE SOUTH, NEW YORK, USA, NY, 10010-1710",RD275,http://www.mosby.com
90171,D1466J,1538-5442,1538-3199,CURRENT PROBLEMS IN PEDIATRIC AND ADOLESCENT HEALTH CARE,CURR PROB PEDIATR AD,Curr. Probl. Pediatr. Adolesc. Health Care,M,10,http://www.cppah.com/authorinfo,FALSE,UNITED STATES OF AMERICA,1970,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",JM501,http://www.elsevier.com
90172,06370J,0011-3840,1535-6337,CURRENT PROBLEMS IN SURGERY,CURR PROB SURG,Curr. Probl. Surg.,M,12,,,UNITED STATES OF AMERICA,1964,MOSBY-ELSEVIER,"360 PARK AVENUE SOUTH, NEW YORK, USA, NY, 10010-1710",RD275,http://www.mosby.com
90173,13658J,1389-2037,1875-5550,CURRENT PROTEIN & PEPTIDE SCIENCE,CURR PROTEIN PEPT SC,Curr. Protein Pept. Sci.,M,12,http://bsp-cms.eurekaselect.com/index.php/CPPS/login?source=%2Findex.php%2FCPPS,FALSE,UNITED ARAB EMIRATES,2000,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90174,C5804J,1570-1646,1875-6247,CURRENT PROTEOMICS,CURR PROTEOMICS,Curr. Proteomics,B,5,http://bsp-cms.eurekaselect.com/index.php/CP/login?source=%2Findex.php%2FCP,FALSE,UNITED ARAB EMIRATES,2004,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90175,D0544J,1523-3812,1535-1645,CURRENT PSYCHIATRY REPORTS,CURR PSYCHIAT REP,Curr. Psychiatry Rep.,M,12,http://www.springerlink.com/content/120650/,FALSE,UNITED STATES OF AMERICA,1998,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
90185,D9941J,2452-3186,2452-3186,CURRENT RESEARCH IN TRANSLATIONAL MEDICINE,CURR RES TRANSL MED,Curr. Res. Transl. Med.,Q,4,,,FRANCE,2016,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,"65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442",JB243,http://www.elsevier.fr
90188,D2002J,1523-3774,1534-6307,CURRENT RHEUMATOLOGY REPORTS,CURR RHEUMATOL REP,Curr. Rheumatol. Rep.,B,6,http://www.springer.com/medicine/rheumatology/journal/11926,FALSE,UNITED STATES OF AMERICA,1999,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
90190,31504J,0011-3891,0011-3891,CURRENT SCIENCE,CURR SCI INDIA,Curr. Sci.,S,24,,,INDIA,1932,INDIAN ACAD SCIENCES,"C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE, INDIA, 560 080",LX876,http://www.ias.ac.in
90193,C9827J,1537-890X,1537-8918,CURRENT SPORTS MEDICINE REPORTS,CURR SPORT MED REP,Curr. Sport. Med. Rep.,B,6,http://www.editorialmanager.com/csmr/,FALSE,UNITED STATES OF AMERICA,2002,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",VF505,http://www.lww.com/
90195,D0468J,1574-888X,2212-3946,CURRENT STEM CELL RESEARCH & THERAPY,CURR STEM CELL RES T,Curr. Stem Cell Res. Ther.,C,8,http://bsp-cms.eurekaselect.com/index.php/CSCRT/login?source=%2Findex.php%2FCSCRT,FALSE,UNITED ARAB EMIRATES,2006,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
108840,00081S,0070-2153,1557-8933,CURRENT TOPICS IN DEVELOPMENTAL BIOLOGY,CURR TOP DEV BIOL,Curr. Top. Dev. Biol.,B,5,,,UNITED STATES OF AMERICA,1966,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",AH001,http://www.books.elsevier.com
90198,13994J,1568-0266,1873-5294,CURRENT TOPICS IN MEDICINAL CHEMISTRY,CURR TOP MED CHEM,Curr. Top. Med. Chem.,F,32,http://benthamscience.com/journal/authors-guidelines.php?journalID=ctmc#top,FALSE,UNITED ARAB EMIRATES,2001,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
108841,08579S,1063-5823,,CURRENT TOPICS IN MEMBRANES,CURR TOP MEMBR,Curr. Top. Membr.,H,2,,,UNITED STATES OF AMERICA,1970,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",AH001,http://www.books.elsevier.com
108772,00100S,0070-217X,2196-9965,CURRENT TOPICS IN MICROBIOLOGY AND IMMUNOLOGY,CURR TOP MICROBIOL,Curr.Top.Microbiol.Immunol.,I,,,,UNITED STATES OF AMERICA,1906,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",YK510,http://www.springer.com
90199,C6678J,1540-7535,,CURRENT TOPICS IN NUTRACEUTICAL RESEARCH,CURR TOP NUTRACEUT R,Curr. Top. Nutraceutical Res.,Q,4,http://ctnr.newcenturyhealthpublishers.com/authors/Instruction_to_Authors.pdf,FALSE,UNITED STATES OF AMERICA,2003,"NEW CENTURY HEALTH PUBLISHERS, LLC","PO BOX 175, COPPELL, USA, TX, 75019",ABN04,http://newcenturypublishers.com
90204,C8483J,1092-8480,1534-3138,CURRENT TREATMENT OPTIONS IN NEUROLOGY,CURR TREAT OPTION NE,Curr. Treat. Options Neurol.,B,6,http://link.springer.com/journal/11940,FALSE,UNITED STATES OF AMERICA,1999,CURRENT MEDICINE GROUP,"400 MARKET STREET, STE 700, PHILADELPHIA, USA, PA, 19106",IE313,http://www.current-reports.com
90205,C8947J,1527-2729,1534-6277,CURRENT TREATMENT OPTIONS IN ONCOLOGY,CURR TREAT OPTION ON,Curr. Treat. Options Oncol.,M,12,http://www.springer.com/medicine/oncology/journal/11864,FALSE,UNITED STATES OF AMERICA,1999,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
90207,D2515J,1527-2737,1534-6285,CURRENT UROLOGY REPORTS,CURR UROL REP,Curr. Urol. Rep.,M,12,http://www.springer.com/medicine/urology/journal/11934,FALSE,UNITED STATES OF AMERICA,2000,SPRINGER,"233 SPRING ST, NEW YORK, USA, NY, 10013",YK501,http://www.springeronline.com
90208,C5807J,1570-1611,1875-6212,CURRENT VASCULAR PHARMACOLOGY,CURR VASC PHARMACOL,Current Vascular Pharmacology,B,6,http://bsp-cms.eurekaselect.com/index.php/CVP/login?source=%2Findex.php%2FCVP,FALSE,UNITED ARAB EMIRATES,2003,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",FF475,http://www.eurekaselect.com/
90212,C9421J,1674-5507,2396-9814,CURRENT ZOOLOGY,CURR ZOOL,Curr. Zool.,B,6,http://mc03.manuscriptcentral.com/currentzoology,TRUE,CHINA MAINLAND,1935,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",TT001,http://www.oxfordjournals.org
90221,C8747J,1808-2882,1808-2882,CUSTOS E AGRONEGOCIO ON LINE,CUST AGRONEGOCIO,Custos Agronegocio Line,Q,4,,TRUE,BRAZIL,2005,"UNIV FED RURAL PERNAMBUCO, DEPT ADMINISTRACAO","AV D MANOEL MEDEIROS S-N, BAIRRO DE DOIS IRMAOS, BRAZIL, RECIFE PE, CEP50670-901",ABY37,http://www.custoseagronegocioonline.com.br/
90222,C5948J,1556-9527,1556-9535,CUTANEOUS AND OCULAR TOXICOLOGY,CUTAN OCUL TOXICOL,Cutan. Ocul. Toxicol.,Q,4,http://mc.manuscriptcentral.com/lcot,FALSE,UNITED STATES OF AMERICA,2005,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OR14 4RN",ZA501,http://www.tandfonline.com
90223,31567J,0011-4162,2326-6929,CUTIS,CUTIS,Cutis,M,12,http://www.editorialmanager.com/cutis/,FALSE,UNITED STATES OF AMERICA,1965,QUADRANT HEALTHCOM INC,"7 CENTURY DRIVE, STE 302, PARSIPPANY, USA, NJ, 07054-4603",VD125,http://www.qhc.com
90227,03345J,0196-9722,1087-6553,CYBERNETICS AND SYSTEMS,CYBERNET SYST,Cybern. Syst.,B,8,http://www.tandfonline.com/loi/ucbs20,FALSE,UNITED STATES OF AMERICA,1971,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",ZA463,http://www.tandfonline.com/
90231,12328J,0399-0974,,CYBIUM,CYBIUM,Cybium,Q,4,http://sfi.mnhn.fr/cybium/auteurs/english/authorsinstr.html#submission,FALSE,FRANCE,1977,SOC FRANCAISE D ICHTYOLOGIE,"MUSEUM NATL D HISTOIRE NATURELLE, 43 RUE CUVIER, PARIS, FRANCE, 75231",XM940,http://www.mnhn.fr/sfi/index.html
90233,C9504J,1947-6337,1947-6345,CYTA-JOURNAL OF FOOD,CYTA-J FOOD,CyTA-J. Food,Q,4,http://mc.manuscriptcentral.com/tcyt,TRUE,ENGLAND,2009,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OR14 4RN",ZA501,http://www.tandfonline.com
90234,13910J,1424-8581,1424-859X,CYTOGENETIC AND GENOME RESEARCH,CYTOGENET GENOME RES,Cytogenet. Genome Res.,M,12,http://oper1.karger.com/xpresstrack/submissions/?jid=175,FALSE,SWITZERLAND,2002,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",WG001,http://www.karger.ch
90235,D0661J,0974-5963,1742-6413,CYTOJOURNAL,CYTOJOURNAL,CytoJournal,I,,http://www.journalonweb.com/cytojournal/,TRUE,ENGLAND,2004,WOLTERS KLUWER MEDKNOW PUBLICATIONS,"WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, INDIA, 400059",ABM29,http://www.medknow.com
90236,09556J,1043-4666,1096-0023,CYTOKINE,CYTOKINE,Cytokine,M,12,http://ees.elsevier.com/ycyto/,FALSE,ENGLAND,1989,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX",AH010,http://www.apnet.com
90237,12509J,1359-6101,1879-0305,CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,Cytokine Growth Factor Rev.,B,6,https://www.evise.com/profile/#/CGFR/login,FALSE,ENGLAND,1998,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",JM451,http://www.elsevier.com
90238,31724J,0011-4545,1348-7019,CYTOLOGIA,CYTOLOGIA,Cytologia,Q,4,http://www.editorialmanager.com/cytologia/default.aspx,FALSE,JAPAN,1929,UNIV TOKYO CYTOLOGIA,"TOSHIN BLDG, HONGO 2-27-2, BUNKYO-KU, TOKYO, JAPAN, 113-0031",ZW851,http://square.umin.ac.jp/mendel/
90239,C7743J,0095-4527,1934-9440,CYTOLOGY AND GENETICS,CYTOL GENET+,Cytol. Genet.,B,6,http://www.springer.com/biomed/human+genetics/journal/11956,FALSE,UKRAINE,1974,ALLERTON PRESS INC,"18 WEST 27TH ST, NEW YORK, USA, NY, 10001",BB714,http://www.allertonpress.com
90240,14008J,1552-4922,1552-4930,CYTOMETRY PART A,CYTOM PART A,Cytom. Part A,M,12,http://mc.manuscriptcentral.com/cytometry/cyto,FALSE,UNITED STATES OF AMERICA,1980,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",FL501,http://www.wiley.com/WileyCDA/
90241,14007J,1552-4949,1552-4957,CYTOMETRY PART B-CLINICAL CYTOMETRY,CYTOM PART B-CLIN CY,Cytom. Part B-Clin. Cytom.,B,6,,,UNITED STATES OF AMERICA,2003,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",FL501,http://www.wiley.com/WileyCDA/
90242,09567J,0956-5507,1365-2303,CYTOPATHOLOGY,CYTOPATHOLOGY,Cytopathology,B,6,http://mc.manuscriptcentral.com/cytopathology,FALSE,ENGLAND,1990,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",FL501,http://www.wiley.com/WileyCDA/
90243,C9944J,1949-3584,1949-3592,CYTOSKELETON,CYTOSKELETON,Cytoskeleton,M,12,http://mc.manuscriptcentral.com/cytoskeleton,FALSE,UNITED STATES OF AMERICA,2010,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",FL501,http://www.wiley.com/WileyCDA/
90244,09282J,0920-9069,1573-0778,CYTOTECHNOLOGY,CYTOTECHNOLOGY,Cytotechnology,B,6,https://cyto.edmgr.com/,FALSE,NETHERLANDS,1987,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",PA269,http://www.springeronline.com
90245,13211J,1465-3249,1477-2566,CYTOTHERAPY,CYTOTHERAPY,Cytotherapy,B,8,http://mc.manuscriptcentral.com/cytotherapy,FALSE,ENGLAND,1999,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",JM451,http://www.elsevier.com
90247,12245J,1212-1819,1805-9309,CZECH JOURNAL OF ANIMAL SCIENCE,CZECH J ANIM SCI,Czech J. Anim. Sci.,M,12,http://www.editorialmanager.com/cjas/default.aspx,TRUE,CZECH REPUBLIC,1998,CZECH ACADEMY AGRICULTURAL SCIENCES,"TESNOV 17, PRAGUE, CZECH REPUBLIC, 117 05",ACG67,http://www.agriculturejournals.cz/web/index.html
90248,C1020J,1212-1800,1805-9317,CZECH JOURNAL OF FOOD SCIENCES,CZECH J FOOD SCI,Czech. J. Food Sci.,B,6,http://www.editorialmanager.com/cjas/default.aspx,TRUE,CZECH REPUBLIC,1982,CZECH ACADEMY AGRICULTURAL SCIENCES,"TESNOV 17, PRAGUE, CZECH REPUBLIC, 117 05",ACG67,http://www.agriculturejournals.cz/web/index.html
90249,C8054J,1212-1975,1805-9325,CZECH JOURNAL OF GENETICS AND PLANT BREEDING,CZECH J GENET PLANT,Czech J. Genet. Plant Breed.,Q,4,http://www.agriculturejournals.cz/addArticle?_s=CagkTdXZqJCPQONv&_k=wnEQRmEQ,TRUE,CZECH REPUBLIC,1965,CZECH ACADEMY AGRICULTURAL SCIENCES,"TESNOV 17, PRAGUE, CZECH REPUBLIC, 117 05",ACG67,http://www.agriculturejournals.cz/web/index.html
90252,31812J,0011-4642,1572-9141,CZECHOSLOVAK MATHEMATICAL JOURNAL,CZECH MATH J,Czech. Math. J.,Q,4,https://journals.math.cas.cz/index-1.php,FALSE,CZECH REPUBLIC,1951,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",ZX651,http://www.springer.com
90258,C8396J,1958-5586,1958-5594,DAIRY SCIENCE & TECHNOLOGY,DAIRY SCI TECHNOL,Dairy Sci. Technol.,B,6,https://www.editorialmanager.com/dste/,FALSE,FRANCE,2008,SPRINGER FRANCE,"22 RUE DE PALESTRO, PARIS, FRANCE, 75002",ABH88,http://www.springeronline.com
90262,13987J,1477-9226,1477-9234,DALTON TRANSACTIONS,DALTON T,Dalton Trans.,W,48,http://mc.manuscriptcentral.com/dalton,FALSE,ENGLAND,2003,ROYAL SOC CHEMISTRY,"THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF",VX250,http://www.rsc.org
90268,D0994J,2245-1919,2245-1919,DANISH MEDICAL JOURNAL,DAN MED J,Dan. Med. J.,M,12,https://mc.manuscriptcentral.com/ugeskriftet,FALSE,DENMARK,2012,DANISH MEDICAL ASSOC,"TRONDHJEMSGADE 9, COPENHAGEN, DENMARK, DK-2100",II650,
90273,C1339J,2008-2231,2008-2231,DARU-JOURNAL OF PHARMACEUTICAL SCIENCES,DARU,DARU,H,2,http://www.darujps.com/newjournal/author/contact?txt_nav=usr&txt_man_id=new&txt_jou_id=10344,TRUE,UNITED STATES OF AMERICA,1991,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",ACI64,http://www.springer.com
90281,D0682J,1758-0463,1758-0463,DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,DATABASE-OXFORD,Database,C,1,http://mc.manuscriptcentral.com/database,TRUE,ENGLAND,2009,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",TT001,http://www.oxfordjournals.org
90276,10991J,0169-023X,1872-6933,DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG,Data Knowl. Eng.,B,6,http://ees.elsevier.com/datak/,FALSE,NETHERLANDS,1985,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",JM901,http://www.elsevier.com
90279,12239J,1384-5810,1573-756X,DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,Data Min. Knowl. Discov.,B,6,https://www.editorialmanager.com/dami/,FALSE,NETHERLANDS,1997,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",PA269,http://www.springeronline.com
