Journal title,search title,search id,search hash,matched,suggestions
Journal of Public Procurement,Journal of Public Procurement,jour.1271058,ee1965bf64c08755f9b1f1c73400bf35a9a9f15d,1.0,"{""suggestions"": [{""value"": ""Journal of Public Procurement"", ""data"": {""id"": ""jour.1271058"", ""title"": ""Journal of Public Procurement"", ""hash"": ""ee1965bf64c08755f9b1f1c73400bf35a9a9f15d""}}]}"
Journal of Revenue and Pricing Management,Journal of Revenue and Pricing Management,jour.1036800,05f524c1e2be10227a80df6ca9dd6683538528cc,1.0,"{""suggestions"": [{""value"": ""Journal of Revenue and Pricing Management"", ""data"": {""id"": ""jour.1036800"", ""title"": ""Journal of Revenue and Pricing Management"", ""hash"": ""05f524c1e2be10227a80df6ca9dd6683538528cc""}}]}"
Management Decision,Management Decision,jour.1137358,ef6f632244b1ad94e581e70dfe9a7ca12221fef1,1.0,"{""suggestions"": [{""value"": ""Management Decision"", ""data"": {""id"": ""jour.1137358"", ""title"": ""Management Decision"", ""hash"": ""ef6f632244b1ad94e581e70dfe9a7ca12221fef1""}}, {""value"": ""International Journal of Management and Decision Making"", ""data"": {""id"": ""jour.1142252"", ""title"": ""International Journal of Management and Decision Making"", ""hash"": ""ec60ea39e085dcb7bfe723ad147ef5ee97d8acc8""}}, {""value"": ""Strategic decisions and risk management"", ""data"": {""id"": ""jour.1329691"", ""title"": ""Strategic decisions and risk management"", ""hash"": ""7608dfa99658bfd7de1b69f139db6f3047e9f31f""}}, {""value"": ""International Journal of Decision Sciences Risk and Management"", ""data"": {""id"": ""jour.1147576"", ""title"": ""International Journal of Decision Sciences Risk and Management"", ""hash"": ""0e6514f2d50da06d5ffb30083d4616cab9f1dcf1""}}, {""value"": ""Sant\u00e9 D\u00e9cision Management"", ""data"": {""id"": ""jour.1039412"", ""title"": ""Sant\u00e9 D\u00e9cision Management"", ""hash"": ""c18c130fc9b226e016b15535318057fca7af32b4""}}, {""value"": ""Decision Making Applications in Management and Engineering"", ""data"": {""id"": ""jour.1321397"", ""title"": ""Decision Making Applications in Management and Engineering"", ""hash"": ""a8a4a0090dd774def2ef14878a8d3622e17403b7""}}]}"
Management Revue: Socio-economic Studies,,,,0.0,"{""suggestions"": []}"
Review of Managerial Science,Review of Managerial Science,jour.1136334,978089c890104b8ed894efded784d29dd3d1ce5c,1.0,"{""suggestions"": [{""value"": ""Review of Managerial Science"", ""data"": {""id"": ""jour.1136334"", ""title"": ""Review of Managerial Science"", ""hash"": ""978089c890104b8ed894efded784d29dd3d1ce5c""}}]}"
Scandinavian Journal of Management,Scandinavian Journal of Management,jour.1051967,5b2aa02c35eb4fbd3cf6d23a1be19ac0c909d5b4,1.0,"{""suggestions"": [{""value"": ""Scandinavian Journal of Management"", ""data"": {""id"": ""jour.1051967"", ""title"": ""Scandinavian Journal of Management"", ""hash"": ""5b2aa02c35eb4fbd3cf6d23a1be19ac0c909d5b4""}}, {""value"": ""Scandinavian Journal of Management Studies"", ""data"": {""id"": ""jour.1150481"", ""title"": ""Scandinavian Journal of Management Studies"", ""hash"": ""8a85276ca2985bab723ea886b8de7b3ab7ef634b""}}]}"
Schmalenbach Business Review,Schmalenbach Business Review,jour.1320355,57160f88efe96eec59705a8b5ab9a29ca73e20f0,1.0,"{""suggestions"": [{""value"": ""Schmalenbach Business Review"", ""data"": {""id"": ""jour.1320355"", ""title"": ""Schmalenbach Business Review"", ""hash"": ""57160f88efe96eec59705a8b5ab9a29ca73e20f0""}}]}"
Sex Roles,Sex Roles,jour.1084414,60e8ed481bc3e4d4da7a28bacef2346ba583c6b3,1.0,"{""suggestions"": [{""value"": ""Sex Roles"", ""data"": {""id"": ""jour.1084414"", ""title"": ""Sex Roles"", ""hash"": ""60e8ed481bc3e4d4da7a28bacef2346ba583c6b3""}}]}"
Signs,Signs,jour.1119824,78b8451c7d000b4e659782a91fc00b13b9022c9f,1.0,"{""suggestions"": [{""value"": ""Signs"", ""data"": {""id"": ""jour.1119824"", ""title"": ""Signs"", ""hash"": ""78b8451c7d000b4e659782a91fc00b13b9022c9f""}}, {""value"": ""Signs and Society"", ""data"": {""id"": ""jour.1050462"", ""title"": ""Signs and Society"", ""hash"": ""8ea177f0cc2652a3ed550d75b3c64fa8953abe30""}}, {""value"": ""International Journal of Signs and Semiotic Systems"", ""data"": {""id"": ""jour.1151604"", ""title"": ""International Journal of Signs and Semiotic Systems"", ""hash"": ""739843919a38d3b96c863b093d0401d6020973b4""}}, {""value"": ""VITAL SIGNS"", ""data"": {""id"": ""jour.1121731"", ""title"": ""VITAL SIGNS"", ""hash"": ""c0f82f8fef74bddda3490bab101ae03e2adcbeb8""}}]}"
Actual Problems of Economics,,,,2.0,"{""suggestions"": [{""value"": ""Actual Problems of Economics and Law"", ""data"": {""id"": ""jour.1149354"", ""title"": ""Actual Problems of Economics and Law"", ""hash"": ""042b44a3be0629036820b9826d89f282d7503473""}}]}"
Business and Professional Ethics,,,,2.0,"{""suggestions"": [{""value"": ""Business and Professional Ethics Journal"", ""data"": {""id"": ""jour.1026272"", ""title"": ""Business and Professional Ethics Journal"", ""hash"": ""c21da8ee1926ddf0954f9af41897f22b11b9e4fc""}}]}"
Cogent Business & Management,Cogent Business & Management,jour.1149709,5029d15879b9f8178e18a075c44b5ece1f55dd03,1.0,"{""suggestions"": [{""value"": ""Cogent Business & Management"", ""data"": {""id"": ""jour.1149709"", ""title"": ""Cogent Business & Management"", ""hash"": ""5029d15879b9f8178e18a075c44b5ece1f55dd03""}}]}"
"Corporate Board: role, duties and composition",,,,0.0,"{""suggestions"": []}"
Economic and business review,,,,2.0,"{""suggestions"": [{""value"": ""Review of Economic and Business Studies"", ""data"": {""id"": ""jour.1153839"", ""title"": ""Review of Economic and Business Studies"", ""hash"": ""95d46e70de005f0187e6ae457f64c6fd43a90fb8""}}, {""value"": ""Croatian Review of Economic Business and Social Statistics"", ""data"": {""id"": ""jour.1292322"", ""title"": ""Croatian Review of Economic Business and Social Statistics"", ""hash"": ""d1b8df5144c8d967e300a616e42f5f61f85347f2""}}]}"
"Equality, Diversity and Inclusion: an International Journal",,,,0.0,"{""suggestions"": []}"
Eurasian Business Review,Eurasian Business Review,jour.1135908,bfbbb722f4564f1070683f3ed3ca6cf3ba9eaa01,1.0,"{""suggestions"": [{""value"": ""Eurasian Business Review"", ""data"": {""id"": ""jour.1135908"", ""title"": ""Eurasian Business Review"", ""hash"": ""bfbbb722f4564f1070683f3ed3ca6cf3ba9eaa01""}}]}"
European Business Journal,,,,2.0,"{""suggestions"": [{""value"": ""European Journal of Economics and Business Studies"", ""data"": {""id"": ""jour.1298247"", ""title"": ""European Journal of Economics and Business Studies"", ""hash"": ""5e271295b7a47a5a23708c6e79a8f49f46074a19""}}, {""value"": ""South East European Journal of Economics and Business"", ""data"": {""id"": ""jour.1146381"", ""title"": ""South East European Journal of Economics and Business"", ""hash"": ""627a12d3d37bc952d643cad380cc325a40633ee4""}}, {""value"": ""European Journal of Family Business"", ""data"": {""id"": ""jour.1159622"", ""title"": ""European Journal of Family Business"", ""hash"": ""60f94f9f6ccd348054d468628fdb711adc10c2cf""}}, {""value"": ""European Journal of Business and Economics"", ""data"": {""id"": ""jour.1145716"", ""title"": ""European Journal of Business and Economics"", ""hash"": ""7903807cd56068156d443c44399ec4603a91d6b1""}}, {""value"": ""European Journal of Management and Business Economics"", ""data"": {""id"": ""jour.1156576"", ""title"": ""European Journal of Management and Business Economics"", ""hash"": ""04b33eb9e0800d8e8844684ba60e9770f2e7e6d3""}}, {""value"": ""European Journal of Business Research"", ""data"": {""id"": ""jour.1148639"", ""title"": ""European Journal of Business Research"", ""hash"": ""b7d9fc4406933a3d9004da0fdcf2a839d1f698ba""}}, {""value"": ""European Journal of Business Science and Technology"", ""data"": {""id"": ""jour.1299497"", ""title"": ""European Journal of Business Science and Technology"", ""hash"": ""035dcd8275e3b169c5c7f778682c388bebe4ffd7""}}, {""value"": ""European Journal of Business Management and Research"", ""data"": {""id"": ""jour.1355257"", ""title"": ""European Journal of Business Management and Research"", ""hash"": ""8ea856799ecf01919ed1989e6f3c9707b0a2f7b9""}}, {""value"": ""European Journal of Business and Management"", ""data"": {""id"": ""jour.1301555"", ""title"": ""European Journal of Business and Management"", ""hash"": ""5e59d9cafa8b5214b608f43cdfaf06a6a2dd1e82""}}]}"
Gender in Management: An International Journal,,,,0.0,"{""suggestions"": []}"
Global Business Review,Global Business Review,jour.1139706,d5773e42a343ea4f84fa48dcdfd53e7314a46b6c,1.0,"{""suggestions"": [{""value"": ""Global Business Review"", ""data"": {""id"": ""jour.1139706"", ""title"": ""Global Business Review"", ""hash"": ""d5773e42a343ea4f84fa48dcdfd53e7314a46b6c""}}, {""value"": ""Competitiveness Review An International Business Journal incorporating Journal of Global Competitiveness"", ""data"": {""id"": ""jour.1140460"", ""title"": ""Competitiveness Review An International Business Journal incorporating Journal of Global Competitiveness"", ""hash"": ""09a4878e578cfb177e1ac6703e99824d5c490915""}}, {""value"": ""Global Business Administration Review"", ""data"": {""id"": ""jour.1147690"", ""title"": ""Global Business Administration Review"", ""hash"": ""43d50a81de456a323d4bb22f225a41f322fa7d30""}}, {""value"": ""Global Business and Economics Review"", ""data"": {""id"": ""jour.1141546"", ""title"": ""Global Business and Economics Review"", ""hash"": ""88df759576a81770860d1169795a00f4894e82d9""}}, {""value"": ""Global Business and Finance Review"", ""data"": {""id"": ""jour.1152091"", ""title"": ""Global Business and Finance Review"", ""hash"": ""48e7adda6dc471e198eec2e19fe1812e9f58380f""}}, {""value"": ""Global Review of Islamic Economics and Business"", ""data"": {""id"": ""jour.1299082"", ""title"": ""Global Review of Islamic Economics and Business"", ""hash"": ""32d51f8848597b0fbab918a2a89747ee2c6d8961""}}, {""value"": ""GATR Global Journal of Business Social Sciences Review"", ""data"": {""id"": ""jour.1320205"", ""title"": ""GATR Global Journal of Business Social Sciences Review"", ""hash"": ""50841b294788bc4b24c6a37062868197e64bceff""}}]}"
International Journal of Business Governance and Ethics,International Journal of Business Governance and Ethics,jour.1144389,ef222c994e39ed631f631a6763cc6246c57300ee,1.0,"{""suggestions"": [{""value"": ""International Journal of Business Governance and Ethics"", ""data"": {""id"": ""jour.1144389"", ""title"": ""International Journal of Business Governance and Ethics"", ""hash"": ""ef222c994e39ed631f631a6763cc6246c57300ee""}}]}"
International Journal of Globalisation and Small Business,International Journal of Globalisation and Small Business,jour.1146035,81b04a18d9a75c39eb83b43f878f6782aac61a82,1.0,"{""suggestions"": [{""value"": ""International Journal of Globalisation and Small Business"", ""data"": {""id"": ""jour.1146035"", ""title"": ""International Journal of Globalisation and Small Business"", ""hash"": ""81b04a18d9a75c39eb83b43f878f6782aac61a82""}}]}"
"International Journal of Knowledge, Culture and Change Management",,,,2.0,"{""suggestions"": [{""value"": ""The International Journal of Knowledge Culture and Change Management Annual Review"", ""data"": {""id"": ""jour.1160011"", ""title"": ""The International Journal of Knowledge Culture and Change Management Annual Review"", ""hash"": ""856f2430e3253fea35bdc86bc189db70f0b2d156""}}]}"
